age,money,gender,product,salary
53,80600000,0,200000303;TD11300036000;TD11300031000;21001203,1342000000
27,540800000,0,4;WR0001L;06492,888000000
39,3591900000,0,10200100092,650000000
36,3879200000,0,1211210113,1396000000
41,185900000,0,10-01-20-024-0046-0000;TD11300027000;200000303,515000000
36,0,0,TD11300027000;200000301,635000000
32,904800000,0,01013000110000000001;10120114300011;WR0001F;06492,153000000
35,197600000,1,01030500510002;TD11300027000;10-01-20-024-0059-0000,1088000000
36,101400000,1,WR0001B;10-01-20-024-0046-0000;01030500510002,402000000
35,1127100000,0,266451,1340000000
30,1238900000,1,10527001001272000;10-01-30-031-0037-0000;01020400380001,456000000
42,575900000,1,10-003-1381-0001,1326000000
42,1467700000,1,320342,153000000
32,539500000,0,10-003-1384-0001;10-01-20-388-0002;10120114300011,1143000000
29,338000000,1,TD11300035000;01030500600002,1160000000
44,534300000,0,01211310121;21001115,162000000
32,1662700000,1,10527001001272000;TD11330029000;01020400610001;010200100092,985000000
31,111800000,0,10511008000996000;TD11300031000;10511008001004000,702000000
40,980200000,1,200000303;TD11300036000;200000301;01030500510002,249000000
43,0,0,1.03E+12,1127000000
27,231400000,1,21001203;WR0001B;10-01-20-024-0059-0000,566000000
37,361400000,1,10511008001004000;TD11300036000,903000000
23,552500000,0,10-003-1225-0001,1100000000
25,218400000,1,01030500600002;TD11300031000;01211310121;10-01-20-024-0046-0000,1028000000
26,46800000,1,TD11300027000;21001115;TD11300036000,792000000
47,163800000,0,200000301;10-01-20-024-0059-0000;TD11300036000,725000000
35,113100000,1,1.05E+16,750000000
32,8165300000,1,01211210113;220002301;1001303001004;10521001001177000,852000000
45,837200000,0,WR0001L;06492,938000000
30,490100000,0,01030500510002;10511008000996000;21001115;TD11300035000,1332000000
29,352300000,1,320342,411000000
38,7590700000,1,21001116,12000000
23,639600000,1,06492;1001202000002;WR0001L;10-003-1381-0001,796000000
27,128700000,1,21001203;WR0001B;01211310121;TD11300027000,1079000000
27,926900000,0,10-01-20-024-0059-0000;200000301;10511008000996000;21001115,57000000
29,41600000,0,01211310121;TD11300031000,123000000
30,705900000,1,10120114300011;4,1012000000
36,523900000,0,10-01-20-388-0002;10120116100011;01211310127;200-0135-12,1155000000
35,568100000,1,10-01-20-388-0002,1137000000
36,2303600000,0,10-01-30-031-0037-0000,580000000
59,114400000,1,10511008001166004;10511008001004000;WR0001B,909000000
47,0,0,10-01-20-024-0046-0000;10511008001278000;TD11300031000;10511008001004000,1443000000
58,1108900000,0,01012000210000000000;10141116600001,1278000000
37,312000000,1,TD11300031000,441000000
46,1103700000,0,1.02E+12,241000000
43,413400000,1,TD11300036000;10-01-20-024-0059-0000;200000303,1233000000
27,913900000,0,01211310127;10120110400011,1180000000
38,79300000,0,21001115,346000000
53,135200000,1,TD11300035000;TD11300036000;10511008001004000,1205000000
47,2594800000,0,52;220002301,1047000000
56,1609400000,0,01012000200000000003;01020400490001;01020400620001,678000000
41,1142700000,1,10-01-30-355-0005,708000000
29,552500000,0,10-003-1387-0001;10120110400011;WR0001F,1338000000
50,540800000,1,06492;10-003-1384-0001;200-0135-12,413000000
45,1097200000,0,01211210113;1001303001005;01020400610001;10-01-30-355-0005,881000000
35,1118000000,1,1001303001004;21000111,353000000
26,830700000,0,1001202000002;01211310130;10-003-1381-0001,1391000000
26,923000000,1,10300100335,1281000000
37,1960400000,1,1001303001004;21001116;01020400380001;TD11330031000,215000000
30,289900000,0,10-01-20-024-0046-0000;10511008000996000;10-01-20-024-0059-0000;01030500560002,224000000
38,804700000,1,10-003-1387-0001;05100,190000000
37,414700000,1,10511008001004000;TD11300036000,710000000
53,624000000,1,10120114700011;10-01-20-388-0002,988000000
29,276900000,0,200000301;10-01-20-024-0046-0000;21001115,1075000000
35,88400000,1,WR0001B;10511008000996000;TD11300035000,1116000000
28,3624400000,1,10-01-30-355-0005;21001116;10527001000925000,810000000
55,9829300000,0,1.02E+12,1333000000
49,59800000,0,10-01-20-024-0046-0000;TD11300031000;TD11300027000,1304000000
50,2073500000,0,10527001000925000;01020400380001;1001303001001;220002301,934000000
43,1359800000,0,10527001000925000;220002301,993000000
58,1796600000,1,010200100051;10140114300011,413000000
38,282100000,0,200000303,267000000
48,237900000,0,TD11300035000;00320342,881000000
59,1717300000,1,TD11330030000;01012000200000000003;01020400490001;53,1170000000
58,32500000,1,10-01-20-024-0046-0000;10511008001004000;10511008001166004,768000000
36,6297200000,1,00266451;10-059-1264-0001;52,613000000
42,6948500000,0,1211210113,571000000
41,1055600000,1,01211210113;10-01-30-031-0037-0000;10-01-30-355-0005,1228000000
42,136500000,1,200000301;10-01-20-024-0046-0000,1497000000
39,247000000,0,10511008001278000;TD11300031000;WR0001B;10511008000996000,1125000000
57,812500000,1,10-003-1225-0001;10-003-1387-0001,1213000000
52,380900000,0,TD11300031000;WR0001B;01030500560002;01211310121,1305000000
59,1342900000,1,10141114300011;21001199;03100;10-047-1365-0001,1003000000
56,1573000000,0,1.01E+13,482000000
49,83200000,1,21001115,1183000000
35,213200000,1,200000303,44000000
36,2295800000,1,01020400490002;21001236,162000000
40,1622400000,1,10527001000925000;10521001001177000;01020400380001,500000000
55,0,1,200000301;10511008000996000;TD11300035000,637000000
58,1073800000,1,TD11330032000;1001303001003;03100,61000000
39,3419000000,0,10-047-1360-0002,11000000
47,4845100000,0,230-0119-85,686000000
40,527800000,1,WR0001F;010300100335;05100,1192000000
35,3898700000,1,220002301;10141114700031;10527001001272000;01020400610001,779000000
48,1300000000,1,10-01-30-031-0037-0000;01020400610001;01020400490002,833000000
48,653900000,0,5100,996000000
24,263900000,0,1.05E+16,1486000000
49,469300000,1,10511008001166004;10511008000996000,891000000
36,356200000,0,10511008001278000;TD11300036000;21001203,545000000
52,4793100000,0,010200100051;21001199;220002701;01020400510001,262000000
42,419900000,1,10511008001278000;10-01-20-024-0046-0000;WR0001B,1148000000
36,1275300000,0,01211210121;10141114700031;01211210122,596000000
36,829400000,0,1211310130,313000000
48,4197700000,1,21000111;230-0119-85;01020400490002,1129000000
51,2093000000,0,10-047-1381-0001;TD11330032000,620000000
51,42900000,0,10511008000996000;21001203;10-01-20-024-0059-0000,285000000
46,696800000,0,01211310127;10-003-1225-0001;10-003-1384-0001;1001202000002,1415000000
37,0,0,TD11300035000,1058000000
36,3974100000,0,03010;01020400610001;21001116,104000000
47,3759600000,0,220002301;21001116,1371000000
40,0,1,TD11300027000,322000000
38,4310800000,0,1.05E+16,30000000
40,137800000,1,00320342;10511008001004000;10511008001166004;TD11300027000,970000000
39,2993900000,1,10-059-1264-0001;01211210121;10527001000925000;10521001001177000,371000000
60,4291300000,0,01012000210000000000;10-01-30-031-0018-0000,350000000
39,553800000,1,10-003-1387-0001;10-003-1384-0001;10120114700011;05100,581000000
51,11700000,0,200000301;TD11300031000;TD11300036000,314000000
27,126100000,0,00320342;21001203;WR0001B;10511008001278000,222000000
41,14310400000,1,01020400380001;TD11330031000;01020400530001,550000000
42,6409000000,0,10527001001278000;00266451;01020400530001;21000111,486000000
41,919100000,0,10-003-1387-0001;200-0135-12;10-003-1225-0001,909000000
33,5200000,0,WR0001B,978000000
46,163800000,0,10511008001278000;01030500600002;TD11300027000;10511008001004000,218000000
31,872300000,1,10120110400011;10-003-1384-0001;WR0001F,1019000000
41,284700000,0,01030500510002;10511008001166004;21001203,1378000000
41,4708600000,1,230-0119-85;10527001001278000;TD11330029000;01211210113,94000000
55,2054000000,1,10-047-1381-0001;21001199;TD11330032000,181000000
53,1714700000,1,10141116600001;TD11330030000,1190000000
55,2797600000,0,010200100104;10140114700031;53,1216000000
39,3695900000,1,10140110400011;03010;01211210113,1360000000
40,0,1,WR0001B;TD11300036000;10511008000996000,840000000
59,1449500000,1,1.01E+13,441000000
42,812500000,1,10-003-1387-0001;WR0001F,347000000
41,319800000,1,01211310121;200000301;TD11300035000;10-01-20-024-0046-0000,453000000
27,79300000,0,10511008001278000;01211310121,554000000
25,248300000,1,TD11300036000,864000000
43,674700000,0,WR0001L;WR0001F,989000000
44,678600000,0,1.01E+13,427000000
26,59800000,0,21001203;01211310121;10511008001278000,1145000000
52,2949700000,1,TD11330028000;21001199,836000000
54,501800000,0,10-01-20-388-0002,441000000
56,0,1,21001203;21001115,985000000
57,11833900000,0,10-047-1387-0001;1001303001003,1360000000
29,1180400000,1,01211210113;10-01-30-355-0005;1001303001004,564000000
47,2202200000,1,10527001001272000;01020400380001;10527001001278000;1001303001004,1035000000
57,119600000,1,1.03E+12,1329000000
40,244400000,1,200000303,915000000
46,0,0,1.03E+12,768000000
43,962000000,1,WR0001F,553000000
45,851500000,1,10-003-1384-0001;200-0135-12,896000000
24,1127100000,0,21001116;21000111;1001303001004;10141114700031,555000000
40,1311700000,0,10-059-1264-0001;10-01-30-031-0037-0000;TD11330031000;230-0119-85,815000000
38,8268000000,0,TD11330029000;10-047-1360-0002;00266451;10-01-30-031-0037-0000,421000000
36,5388500000,0,01020400530001;01020400490002;01211210113;010200100092,502000000
27,35100000,0,01030500560002;01030500600002,725000000
26,158600000,0,01030500560002;21001115;10511008001004000;TD11300035000,870000000
43,193700000,1,10511008001278000;200000301,1292000000
25,67600000,1,10511008000996000;200000303,808000000
27,435500000,0,10-01-20-024-0046-0000;TD11300035000;10511008001004000,847000000
30,683800000,0,1001202000002;01013000110000000001,848000000
28,9100000,1,00320342;200000303,678000000
27,536900000,0,10511008001004000;TD11300036000,762000000
32,313300000,0,10511008001166004;01030500510002,1203000000
41,97500000,1,TD11300027000,940000000
37,0,0,01030500560002;10511008001004000;10511008000996000;10-01-20-024-0059-0000,250000000
27,205400000,1,1.03E+12,965000000
29,109200000,1,200000301;01211310121;21001115,365000000
33,148200000,1,TD11300027000;10-01-20-024-0059-0000;200000303,474000000
36,0,1,10-01-20-024-0046-0000,624000000
28,165100000,0,10-01-20-024-0059-0000;01030500560002;01030500510002;TD11300036000,1306000000
55,63700000,1,1.03E+12,444000000
51,280800000,0,TD11300027000;TD11300035000,217000000
39,657800000,0,10-01-20-388-0002;10120114300011;200-0135-12;10-003-1387-0001,448000000
42,276900000,1,1.05E+16,1141000000
33,221000000,0,10511008001166004;01030500510002,544000000
36,1008800000,0,01211210121;10521001001177000,1477000000
45,1142700000,0,01020400610001;10-059-1264-0001,857000000
37,2122900000,1,10-01-30-355-0005,138000000
46,1203800000,1,1001303001005;220002301,166000000
32,3326700000,1,1.00E+12,876000000
28,1181700000,0,1.05E+16,875000000
45,228800000,1,200000303;10-01-20-024-0059-0000,23000000
41,1410500000,1,1.00E+12,1045000000
59,1644500000,0,010200100051;01012000200000000003;10-01-30-031-0018-0000,839000000
47,310700000,1,01211310121;10-01-20-024-0046-0000;TD11300031000,1266000000
31,943800000,0,05100;01211310130;10-003-1387-0001,629000000
31,384800000,1,TD11300036000;200000303,161000000
33,815100000,1,01030500600002;10511008001278000;21001115;10511008001004000,1048000000
52,608400000,0,TD11300031000;10-01-20-024-0046-0000;200000301;200000303,873000000
26,716300000,0,6492,851000000
25,0,1,1.05E+16,1390000000
25,131300000,1,TD11300036000,1004000000
28,672100000,0,10-003-1384-0001;10120114700011;1001202000002,457000000
33,48100000,0,TD11300036000;10511008001166004,1046000000
45,1110200000,0,220002301;01020400530001;TD11330029000,607000000
36,39000000,0,10-01-20-024-0059-0000;TD11300031000;10511008001166004;TD11300027000,1283000000
26,105300000,1,TD11300036000;10511008001004000,1263000000
38,0,1,1.05E+16,1447000000
56,861900000,1,10-01-20-388-0002;10120116100011;WR0001F,1107000000
26,132600000,0,10-01-20-024-0059-0000;TD11300036000;TD11300027000;TD11300035000,1321000000
26,481000000,0,00320342;01211310121;01030500560002,804000000
25,245700000,0,TD11300031000,895000000
26,144300000,0,200000301,1075000000
40,864500000,0,10-01-20-388-0002;01211310127;1001202000002;10-003-1225-0001,73000000
37,278200000,0,10-01-20-024-0059-0000,100000000
43,0,0,TD11300027000;01211310121;01030500600002;TD11300036000,1363000000
41,2057900000,0,01020400490002;10141114700031;21001116;10527001001272000,1000000000
49,0,1,10511008000996000;10511008001004000;01030500510002,752000000
29,0,1,21001115,882000000
39,893100000,1,10120114300011;10120110400011;WR0001F,804000000
38,425100000,0,10-01-20-024-0059-0000;01030500510002,1368000000
26,154700000,0,TD11300031000;TD11300036000;TD11300035000,963000000
32,1032200000,1,1.01E+13,1081000000
33,248300000,1,1.05E+16,1318000000
31,531700000,0,5100,251000000
49,3900000,1,TD11300031000;01030500560002;00320342,292000000
27,11700000,1,WR0001B,810000000
30,201500000,0,01211310121;200000303;01030500560002;TD11300035000,1404000000
35,1729000000,0,01020400530001;01211210113;10527001001278000,730000000
26,37700000,1,01030500560002;10511008001278000;200000301,1367000000
45,4072900000,0,21000111,419000000
34,42900000,1,21001203;21001115;TD11300027000,847000000
28,221000000,1,1.03E+12,71000000
25,1615900000,1,1.00E+12,685000000
30,2077400000,1,010200100092;21001116,641000000
30,6500000,1,320342,574000000
47,477100000,0,TD11300036000,1012000000
57,855400000,1,01211310130;06492;10-003-1381-0001,17000000
38,2238600000,1,1001303001004;010200100092;21000111,1359000000
54,409500000,0,10-01-20-024-0046-0000,556000000
25,3227900000,0,230-0119-85;03010;01211210122,683000000
30,0,1,TD11300035000,32000000
26,58500000,1,TD11300036000;WR0001B;10-01-20-024-0059-0000,535000000
31,59800000,1,TD11300031000;WR0001B;01030500600002;10511008001278000,503000000
29,626600000,0,10120114300011;01211310127;01211310130;10120110400011,789000000
49,4846400000,1,10-047-1360-0002;01211210113,213000000
60,1428700000,0,01211210110;10141116600001,956000000
60,2888600000,0,01020400490001;01012000210000000000,690000000
29,1277900000,0,21001116;10-01-30-355-0005;01020400530001;TD11330031000,154000000
55,265200000,0,10-01-20-024-0046-0000;TD11300031000;TD11300036000;TD11300035000,786000000
44,1396200000,1,1.00E+12,338000000
47,4505800000,1,1211210121,571000000
35,263900000,1,01211310121;10-01-20-024-0046-0000,1330000000
35,3166800000,1,10527001001278000;10-059-1264-0001,1117000000
38,1268800000,1,21000111;10141114700031;10521001001177000,738000000
34,189800000,1,200000303,1000000
50,202800000,0,10511008001004000;00320342;10-01-20-024-0046-0000,354000000
43,245700000,1,200000301;00320342;TD11300027000,408000000
44,211900000,1,00320342;21001115;21001203;TD11300035000,1200000000
51,314600000,0,01030500510002;TD11300035000,370000000
31,1524900000,1,21000111;00266451,1016000000
39,0,0,01211310121;01030500510002,1458000000
59,384800000,1,10511008001166004;01030500510002,1122000000
25,432900000,0,TD11300031000;10-01-20-024-0059-0000;WR0001B;200000301,602000000
58,5023200000,1,10200100051,1001000000
30,3491800000,0,01020400530001;03010;21001116;10527001000925000,230000000
34,141700000,1,TD11300027000,1216000000
51,84500000,0,10-01-20-024-0059-0000;21001203,1305000000
60,776100000,1,10-003-1225-0001;10-01-20-388-0002;10-003-1387-0001,351000000
51,1038700000,1,200000301,467000000
37,2307500000,1,1211210121,563000000
30,0,0,TD11300036000;TD11300031000;TD11300035000,1327000000
46,731900000,1,10511008001278000;21001203;WR0001B;01211310121,823000000
29,6500000,1,10511008001278000;200000301;TD11300031000,437000000
27,180700000,1,10-01-20-024-0059-0000;200000301,1368000000
28,0,1,01030500560002;01211310121;200000301,1125000000
34,1111500000,0,01211210113;03010;21001236;01211210122,1413000000
29,902200000,1,4;1001202000002;05100;10-003-1225-0001,654000000
27,196300000,1,10511008001166004;01211310121;00320342,614000000
26,460200000,0,21001115;00320342;01030500510002;01030500560002,1377000000
36,874900000,1,4;10-003-1381-0001;WR0001L,1102000000
44,1644500000,0,1211210122,1176000000
39,776100000,0,1.01E+13,299000000
30,510900000,0,01030500600002;10511008001166004,91000000
31,332800000,1,WR0001B;10511008001004000,152000000
56,0,1,TD11300027000;10511008001278000,910000000
29,3731000000,0,TD11330031000;01020400490002;10-047-1360-0002;10141114700031,1434000000
43,239200000,1,WR0001B;10511008001004000;01030500510002;01030500560002,560000000
32,2476500000,1,10-047-1360-0002;21000111;220002301,1233000000
30,46800000,0,01211310121;01030500560002;10511008001278000,946000000
40,1090700000,1,200000301;01030500560002,1289000000
42,4504500000,0,00266451;10-01-30-031-0037-0000;10-01-30-355-0005,491000000
27,154700000,0,200000303;TD11300031000;10-01-20-024-0046-0000;01030500560002,1230000000
35,46800000,1,200000301;10511008001278000;WR0001B,1449000000
35,146900000,0,10511008000996000;WR0001B,603000000
32,153400000,0,TD11300036000;01211310121;10511008001278000;10511008000996000,122000000
39,326300000,1,TD11300035000;01211310121;TD11300027000;10511008001278000,520000000
31,360100000,1,21001203;01211310121;21001115,642000000
26,245700000,0,10-01-20-024-0059-0000;200000303,1357000000
42,5200000,1,TD11300027000;21001203;01030500560002,175000000
27,2366000000,0,21001116;52;220002301;1001303001005,950000000
