age,money,salary,gender,product
35,1127100000,112710000,0,266451
30,1238900000,123890000,1,10527001001272000;10-01-30-031-0037-0000;01020400380001
42,575900000,57590000,1,10-003-1381-0001
42,-1467700000,20000000,1,320342
32,539500000,53950000,0,10-003-1384-0001;10-01-20-388-0002;10120114300011
29,338000000,33800000,1,TD11300035000;01030500600002
44,-534300000,20000000,0,01211310121;21001115
32,1662700000,166270000,1,10527001001272000;TD11330029000;01020400610001;010200100092
31,111800000,20000000,0,10511008000996000;TD11300031000;10511008001004000
40,-980200000,20000000,1,200000303;TD11300036000;200000301;01030500510002
43,0,20000000,0,1.03E+12
27,231400000,23140000,1,21001203;WR0001B;10-01-20-024-0059-0000
37,361400000,36140000,1,10511008001004000;TD11300036000
23,552500000,55250000,0,10-003-1225-0001
25,218400000,21840000,1,01030500600002;TD11300031000;01211310121;10-01-20-024-0046-0000
26,-46800000,20000000,1,TD11300027000;21001115;TD11300036000
47,163800000,20000000,0,200000301;10-01-20-024-0059-0000;TD11300036000
35,-113100000,20000000,1,1.05E+16
32,8165300000,500000000,1,01211210113;220002301;1001303001004;10521001001177000
45,837200000,83720000,0,WR0001L;06492
30,490100000,49010000,0,01030500510002;10511008000996000;21001115;TD11300035000
29,-352300000,20000000,1,320342
38,7590700000,500000000,1,21001116
23,639600000,63960000,1,06492;1001202000002;WR0001L;10-003-1381-0001
27,128700000,20000000,1,21001203;WR0001B;01211310121;TD11300027000
27,-926900000,20000000,0,10-01-20-024-0059-0000;200000301;10511008000996000;21001115
29,41600000,20000000,0,01211310121;TD11300031000
30,705900000,70590000,1,10120114300011;4
36,523900000,52390000,0,10-01-20-388-0002;10120116100011;01211310127;200-0135-12
35,568100000,56810000,1,10-01-20-388-0002
36,2303600000,230360000,0,10-01-30-031-0037-0000
59,-114400000,20000000,1,10511008001166004;10511008001004000;WR0001B
47,0,20000000,0,10-01-20-024-0046-0000;10511008001278000;TD11300031000;10511008001004000
58,1108900000,110890000,0,01012000210000000000;10141116600001
37,312000000,31200000,1,TD11300031000
46,1103700000,110370000,0,1.02E+12
43,413400000,41340000,1,TD11300036000;10-01-20-024-0059-0000;200000303
27,913900000,91390000,0,01211310127;10120110400011
38,79300000,20000000,0,21001115
53,135200000,20000000,1,TD11300035000;TD11300036000;10511008001004000
47,2594800000,259480000,0,52;220002301
56,1609400000,160940000,0,01012000200000000003;01020400490001;01020400620001
41,1142700000,114270000,1,10-01-30-355-0005
29,552500000,55250000,0,10-003-1387-0001;10120110400011;WR0001F
50,540800000,54080000,1,06492;10-003-1384-0001;200-0135-12
45,1097200000,109720000,0,01211210113;1001303001005;01020400610001;10-01-30-355-0005
35,1118000000,111800000,1,1001303001004;21000111
26,830700000,83070000,0,1001202000002;01211310130;10-003-1381-0001
26,923000000,92300000,1,10300100335
37,1960400000,196040000,1,1001303001004;21001116;01020400380001;TD11330031000
30,289900000,28990000,0,10-01-20-024-0046-0000;10511008000996000;10-01-20-024-0059-0000;01030500560002
38,804700000,80470000,1,10-003-1387-0001;05100
37,414700000,41470000,1,10511008001004000;TD11300036000
53,624000000,62400000,1,10120114700011;10-01-20-388-0002
29,276900000,27690000,0,200000301;10-01-20-024-0046-0000;21001115
35,88400000,20000000,1,WR0001B;10511008000996000;TD11300035000
28,3624400000,362440000,1,10-01-30-355-0005;21001116;10527001000925000
55,9829300000,500000000,0,1.02E+12
49,-59800000,20000000,0,10-01-20-024-0046-0000;TD11300031000;TD11300027000
50,2073500000,207350000,0,10527001000925000;01020400380001;1001303001001;220002301
43,1359800000,135980000,0,10527001000925000;220002301
58,1796600000,179660000,1,010200100051;10140114300011
38,282100000,28210000,0,200000303
48,237900000,23790000,0,TD11300035000;00320342
59,1717300000,171730000,1,TD11330030000;01012000200000000003;01020400490001;53
58,32500000,20000000,1,10-01-20-024-0046-0000;10511008001004000;10511008001166004
36,6297200000,500000000,1,00266451;10-059-1264-0001;52
42,6948500000,500000000,0,1211210113
41,1055600000,105560000,1,01211210113;10-01-30-031-0037-0000;10-01-30-355-0005
42,136500000,20000000,1,200000301;10-01-20-024-0046-0000
39,-247000000,20000000,0,10511008001278000;TD11300031000;WR0001B;10511008000996000
57,812500000,81250000,1,10-003-1225-0001;10-003-1387-0001
52,380900000,38090000,0,TD11300031000;WR0001B;01030500560002;01211310121
59,1342900000,134290000,1,10141114300011;21001199;03100;10-047-1365-0001
56,1573000000,157300000,0,1.01E+13
49,83200000,20000000,1,21001115
35,213200000,21320000,1,200000303
36,2295800000,229580000,1,01020400490002;21001236
40,1622400000,162240000,1,10527001000925000;10521001001177000;01020400380001
55,0,20000000,1,200000301;10511008000996000;TD11300035000
58,1073800000,107380000,1,TD11330032000;1001303001003;03100
39,3419000000,341900000,0,10-047-1360-0002
47,4845100000,484510000,0,230-0119-85
40,527800000,52780000,1,WR0001F;010300100335;05100
35,3898700000,389870000,1,220002301;10141114700031;10527001001272000;01020400610001
48,1300000000,130000000,1,10-01-30-031-0037-0000;01020400610001;01020400490002
48,653900000,65390000,0,5100
24,-263900000,20000000,0,1.05E+16
49,469300000,46930000,1,10511008001166004;10511008000996000
36,356200000,35620000,0,10511008001278000;TD11300036000;21001203
52,4793100000,479310000,0,010200100051;21001199;220002701;01020400510001
42,419900000,41990000,1,10511008001278000;10-01-20-024-0046-0000;WR0001B
36,1275300000,127530000,0,01211210121;10141114700031;01211210122
36,829400000,82940000,0,1211310130
48,4197700000,419770000,1,21000111;230-0119-85;01020400490002
51,2093000000,209300000,0,10-047-1381-0001;TD11330032000
51,42900000,20000000,0,10511008000996000;21001203;10-01-20-024-0059-0000
46,696800000,69680000,0,01211310127;10-003-1225-0001;10-003-1384-0001;1001202000002
37,0,20000000,0,TD11300035000
36,3974100000,397410000,0,03010;01020400610001;21001116
47,3759600000,375960000,0,220002301;21001116
40,0,20000000,1,TD11300027000
38,4310800000,431080000,0,1.05E+16
40,137800000,20000000,1,00320342;10511008001004000;10511008001166004;TD11300027000
39,2993900000,299390000,1,10-059-1264-0001;01211210121;10527001000925000;10521001001177000
60,4291300000,429130000,0,01012000210000000000;10-01-30-031-0018-0000
39,553800000,55380000,1,10-003-1387-0001;10-003-1384-0001;10120114700011;05100
51,11700000,20000000,0,200000301;TD11300031000;TD11300036000
27,-126100000,20000000,0,00320342;21001203;WR0001B;10511008001278000
41,14310400000,500000000,1,01020400380001;TD11330031000;01020400530001
42,6409000000,500000000,0,10527001001278000;00266451;01020400530001;21000111
41,919100000,91910000,0,10-003-1387-0001;200-0135-12;10-003-1225-0001
33,5200000,20000000,0,WR0001B
46,163800000,20000000,0,10511008001278000;01030500600002;TD11300027000;10511008001004000
31,872300000,87230000,1,10120110400011;10-003-1384-0001;WR0001F
41,284700000,28470000,0,01030500510002;10511008001166004;21001203
41,4708600000,470860000,1,230-0119-85;10527001001278000;TD11330029000;01211210113
55,2054000000,205400000,1,10-047-1381-0001;21001199;TD11330032000
53,1714700000,171470000,1,10141116600001;TD11330030000
55,2797600000,279760000,0,010200100104;10140114700031;53
39,3695900000,369590000,1,10140110400011;03010;01211210113
40,0,20000000,1,WR0001B;TD11300036000;10511008000996000
59,1449500000,144950000,1,1.01E+13
42,812500000,81250000,1,10-003-1387-0001;WR0001F
41,319800000,31980000,1,01211310121;200000301;TD11300035000;10-01-20-024-0046-0000
27,79300000,20000000,0,10511008001278000;01211310121
25,-248300000,20000000,1,TD11300036000
43,674700000,67470000,0,WR0001L;WR0001F
44,678600000,67860000,0,1.01E+13
26,-59800000,20000000,0,21001203;01211310121;10511008001278000
52,2949700000,294970000,1,TD11330028000;21001199
54,501800000,50180000,0,10-01-20-388-0002
56,0,20000000,1,21001203;21001115
57,11833900000,500000000,0,10-047-1387-0001;1001303001003
29,1180400000,118040000,1,01211210113;10-01-30-355-0005;1001303001004
47,2202200000,220220000,1,10527001001272000;01020400380001;10527001001278000;1001303001004
57,-119600000,20000000,1,1.03E+12
40,244400000,24440000,1,200000303
46,0,20000000,0,1.03E+12
43,962000000,96200000,1,WR0001F
45,851500000,85150000,1,10-003-1384-0001;200-0135-12
24,1127100000,112710000,0,21001116;21000111;1001303001004;10141114700031
40,1311700000,131170000,0,10-059-1264-0001;10-01-30-031-0037-0000;TD11330031000;230-0119-85
38,8268000000,500000000,0,TD11330029000;10-047-1360-0002;00266451;10-01-30-031-0037-0000
36,5388500000,500000000,0,01020400530001;01020400490002;01211210113;010200100092
27,-35100000,20000000,0,01030500560002;01030500600002
26,-158600000,20000000,0,01030500560002;21001115;10511008001004000;TD11300035000
43,193700000,20000000,1,10511008001278000;200000301
25,67600000,20000000,1,10511008000996000;200000303
27,435500000,43550000,0,10-01-20-024-0046-0000;TD11300035000;10511008001004000
30,683800000,68380000,0,1001202000002;01013000110000000001
28,-9100000,20000000,1,00320342;200000303
27,-536900000,20000000,0,10511008001004000;TD11300036000
32,-313300000,20000000,0,10511008001166004;01030500510002
41,97500000,20000000,1,TD11300027000
37,0,20000000,0,01030500560002;10511008001004000;10511008000996000;10-01-20-024-0059-0000
27,205400000,20540000,1,1.03E+12
29,109200000,20000000,1,200000301;01211310121;21001115
33,148200000,20000000,1,TD11300027000;10-01-20-024-0059-0000;200000303
36,0,20000000,1,10-01-20-024-0046-0000
28,-165100000,20000000,0,10-01-20-024-0059-0000;01030500560002;01030500510002;TD11300036000
55,63700000,20000000,1,1.03E+12
51,280800000,28080000,0,TD11300027000;TD11300035000
39,657800000,65780000,0,10-01-20-388-0002;10120114300011;200-0135-12;10-003-1387-0001
42,276900000,27690000,1,1.05E+16
33,221000000,22100000,0,10511008001166004;01030500510002
36,1008800000,100880000,0,01211210121;10521001001177000
45,1142700000,114270000,0,01020400610001;10-059-1264-0001
37,2122900000,212290000,1,10-01-30-355-0005
46,1203800000,120380000,1,1001303001005;220002301
32,3326700000,332670000,1,1.00E+12
28,1181700000,118170000,0,1.05E+16
45,-228800000,20000000,1,200000303;10-01-20-024-0059-0000
41,1410500000,141050000,1,1.00E+12
59,1644500000,164450000,0,010200100051;01012000200000000003;10-01-30-031-0018-0000
47,-310700000,20000000,1,01211310121;10-01-20-024-0046-0000;TD11300031000
31,943800000,94380000,0,05100;01211310130;10-003-1387-0001
31,384800000,38480000,1,TD11300036000;200000303
33,-815100000,20000000,1,01030500600002;10511008001278000;21001115;10511008001004000
52,-608400000,20000000,0,TD11300031000;10-01-20-024-0046-0000;200000301;200000303
26,716300000,71630000,0,6492
25,0,20000000,1,1.05E+16
25,131300000,20000000,1,TD11300036000
28,672100000,67210000,0,10-003-1384-0001;10120114700011;1001202000002
33,48100000,20000000,0,TD11300036000;10511008001166004
45,1110200000,111020000,0,220002301;01020400530001;TD11330029000
36,39000000,20000000,0,10-01-20-024-0059-0000;TD11300031000;10511008001166004;TD11300027000
26,105300000,20000000,1,TD11300036000;10511008001004000
38,0,20000000,1,1.05E+16
56,861900000,86190000,1,10-01-20-388-0002;10120116100011;WR0001F
26,132600000,20000000,0,10-01-20-024-0059-0000;TD11300036000;TD11300027000;TD11300035000
26,481000000,48100000,0,00320342;01211310121;01030500560002
25,245700000,24570000,0,TD11300031000
26,144300000,20000000,0,200000301
40,864500000,86450000,0,10-01-20-388-0002;01211310127;1001202000002;10-003-1225-0001
37,278200000,27820000,0,10-01-20-024-0059-0000
43,0,20000000,0,TD11300027000;01211310121;01030500600002;TD11300036000
41,2057900000,205790000,0,01020400490002;10141114700031;21001116;10527001001272000
49,0,20000000,1,10511008000996000;10511008001004000;01030500510002
29,0,20000000,1,21001115
39,893100000,89310000,1,10120114300011;10120110400011;WR0001F
38,425100000,42510000,0,10-01-20-024-0059-0000;01030500510002
26,-154700000,20000000,0,TD11300031000;TD11300036000;TD11300035000
32,1032200000,103220000,1,1.01E+13
33,-248300000,20000000,1,1.05E+16
31,531700000,53170000,0,5100
49,3900000,20000000,1,TD11300031000;01030500560002;00320342
27,11700000,20000000,1,WR0001B
30,201500000,20150000,0,01211310121;200000303;01030500560002;TD11300035000
35,1729000000,172900000,0,01020400530001;01211210113;10527001001278000
26,-37700000,20000000,1,01030500560002;10511008001278000;200000301
45,4072900000,407290000,0,21000111
34,-42900000,20000000,1,21001203;21001115;TD11300027000
28,-221000000,20000000,1,1.03E+12
25,1615900000,161590000,1,1.00E+12
30,2077400000,207740000,1,010200100092;21001116
30,6500000,20000000,1,320342
47,477100000,47710000,0,TD11300036000
57,855400000,85540000,1,01211310130;06492;10-003-1381-0001
38,2238600000,223860000,1,1001303001004;010200100092;21000111
54,-409500000,20000000,0,10-01-20-024-0046-0000
25,3227900000,322790000,0,230-0119-85;03010;01211210122
30,0,20000000,1,TD11300035000
26,58500000,20000000,1,TD11300036000;WR0001B;10-01-20-024-0059-0000
31,59800000,20000000,1,TD11300031000;WR0001B;01030500600002;10511008001278000
29,626600000,62660000,0,10120114300011;01211310127;01211310130;10120110400011
49,4846400000,484640000,1,10-047-1360-0002;01211210113
60,1428700000,142870000,0,01211210110;10141116600001
60,2888600000,288860000,0,01020400490001;01012000210000000000
29,1277900000,127790000,0,21001116;10-01-30-355-0005;01020400530001;TD11330031000
55,265200000,26520000,0,10-01-20-024-0046-0000;TD11300031000;TD11300036000;TD11300035000
44,1396200000,139620000,1,1.00E+12
47,4505800000,450580000,1,1211210121
35,-263900000,20000000,1,01211310121;10-01-20-024-0046-0000
35,3166800000,316680000,1,10527001001278000;10-059-1264-0001
38,1268800000,126880000,1,21000111;10141114700031;10521001001177000
34,189800000,20000000,1,200000303
50,202800000,20280000,0,10511008001004000;00320342;10-01-20-024-0046-0000
43,245700000,24570000,1,200000301;00320342;TD11300027000
44,211900000,21190000,1,00320342;21001115;21001203;TD11300035000
51,314600000,31460000,0,01030500510002;TD11300035000
31,1524900000,152490000,1,21000111;00266451
39,0,20000000,0,01211310121;01030500510002
59,384800000,38480000,1,10511008001166004;01030500510002
25,432900000,43290000,0,TD11300031000;10-01-20-024-0059-0000;WR0001B;200000301
58,5023200000,500000000,1,10200100051
30,3491800000,349180000,0,01020400530001;03010;21001116;10527001000925000
34,-141700000,20000000,1,TD11300027000
51,84500000,20000000,0,10-01-20-024-0059-0000;21001203
60,776100000,77610000,1,10-003-1225-0001;10-01-20-388-0002;10-003-1387-0001
51,-1038700000,20000000,1,200000301
37,2307500000,230750000,1,1211210121
30,0,20000000,0,TD11300036000;TD11300031000;TD11300035000
46,-731900000,20000000,1,10511008001278000;21001203;WR0001B;01211310121
29,6500000,20000000,1,10511008001278000;200000301;TD11300031000
27,180700000,20000000,1,10-01-20-024-0059-0000;200000301
28,0,20000000,1,01030500560002;01211310121;200000301
34,1111500000,111150000,0,01211210113;03010;21001236;01211210122
29,902200000,90220000,1,4;1001202000002;05100;10-003-1225-0001
27,196300000,20000000,1,10511008001166004;01211310121;00320342
26,460200000,46020000,0,21001115;00320342;01030500510002;01030500560002
36,874900000,87490000,1,4;10-003-1381-0001;WR0001L
44,1644500000,164450000,0,1211210122
39,776100000,77610000,0,1.01E+13
30,-510900000,20000000,0,01030500600002;10511008001166004
31,332800000,33280000,1,WR0001B;10511008001004000
56,0,20000000,1,TD11300027000;10511008001278000
29,3731000000,373100000,0,TD11330031000;01020400490002;10-047-1360-0002;10141114700031
43,239200000,23920000,1,WR0001B;10511008001004000;01030500510002;01030500560002
32,2476500000,247650000,1,10-047-1360-0002;21000111;220002301
30,-46800000,20000000,0,01211310121;01030500560002;10511008001278000
40,-1090700000,20000000,1,200000301;01030500560002
42,4504500000,450450000,0,00266451;10-01-30-031-0037-0000;10-01-30-355-0005
27,154700000,20000000,0,200000303;TD11300031000;10-01-20-024-0046-0000;01030500560002
35,46800000,20000000,1,200000301;10511008001278000;WR0001B
35,146900000,20000000,0,10511008000996000;WR0001B
32,153400000,20000000,0,TD11300036000;01211310121;10511008001278000;10511008000996000
39,326300000,32630000,1,TD11300035000;01211310121;TD11300027000;10511008001278000
31,-360100000,20000000,1,21001203;01211310121;21001115
26,-245700000,20000000,0,10-01-20-024-0059-0000;200000303
42,5200000,20000000,1,TD11300027000;21001203;01030500560002
27,2366000000,236600000,0,21001116;52;220002301;1001303001005
33,2475200000,247520000,0,21001116;21001236;01211210121;10527001001278000
51,261300000,26130000,0,10511008001166004;200000301
33,0,20000000,1,200000301;10-01-20-024-0059-0000;10-01-20-024-0046-0000;WR0001B
